idx,block,trial,stimuli,reward,response,trialtype,regret
1,1,20,green/yellow,20,yellow,decision,0
1,1,21,blue/red,80,blue,decision,0
1,1,22,blue/red,80,blue,decision,0
1,1,23,yellow/green,20,yellow,decision,20
1,1,24,red/blue,60,red,decision,20
1,1,25,blue/red,40,blue,decision,20
1,1,26,blue/red,40,blue,decision,20
1,1,27,green/red,0,green,catch,60
1,1,28,yellow/blue,20,yellow,catch,20
1,1,29,red/yellow,20,yellow,catch,40
1,1,30,blue/green,80,blue,catch,0
1,1,31,blue/green,40,blue,catch,0
1,1,32,red/blue,60,red,decision,20
1,1,33,red/blue,60,red,decision,0
1,1,34,red/blue,60,red,decision,0
1,1,35,blue/red,80,blue,decision,0
1,1,36,yellow/red,20,yellow,catch,40
1,1,37,yellow/red,20,yellow,catch,40
1,1,38,yellow/green,0,green,decision,20
1,1,39,blue/red,40,blue,decision,20
1,1,40,yellow/blue,20,yellow,catch,60
1,2,1,blue/red,80,blue,decision,0
1,2,2,red/yellow,60,red,catch,0
1,2,3,yellow/red,20,yellow,catch,40
1,2,4,yellow/green,20,yellow,decision,20
1,2,5,yellow/red,20,yellow,catch,40
1,2,6,yellow/green,40,green,decision,0
1,2,7,yellow/green,20,yellow,decision,0
1,2,8,blue/yellow,40,blue,catch,0
1,2,9,yellow/blue,20,yellow,catch,20
1,2,10,blue/yellow,80,blue,catch,0
1,2,11,green/yellow,0,green,decision,20
1,2,12,red/blue,60,red,decision,0
1,2,13,red/blue,60,red,decision,0
1,2,14,green/yellow,0,green,decision,20
1,2,15,red/blue,60,red,decision,0
1,2,16,red/blue,60,red,decision,0
1,2,17,blue/red,60,red,decision,0
1,2,18,blue/red,60,red,decision,20
1,2,19,blue/red,40,blue,decision,20
1,2,20,green/yellow,0,green,decision,20
1,2,21,green/red,0,green,catch,60
1,2,22,red/blue,60,red,decision,20
1,2,23,green/red,40,green,catch,20
1,2,24,red/green,60,red,catch,0
1,2,25,blue/red,40,blue,decision,20
1,2,26,red/blue,60,red,decision,20
1,2,27,red/green,60,red,catch,0
1,2,28,red/blue,60,red,decision,20
1,2,29,yellow/blue,20,yellow,catch,60
1,2,30,blue/red,40,blue,decision,20
1,2,31,blue/green,40,blue,catch,0
1,2,32,red/blue,60,red,decision,0
1,2,33,red/blue,60,red,decision,20
1,2,34,red/green,60,red,catch,0
1,2,35,blue/red,60,red,decision,0
1,2,36,blue/yellow,40,blue,catch,0
1,2,37,yellow/green,20,yellow,decision,0
1,2,38,yellow/green,20,yellow,decision,20
1,2,39,yellow/blue,20,yellow,catch,20
1,2,40,blue/yellow,80,blue,catch,0
1,3,1,green/yellow,40,green,decision,0
1,3,2,green/yellow,0,green,decision,20
1,3,3,green/yellow,0,green,decision,20
1,3,4,blue/green,40,blue,catch,0
1,3,5,red/blue,60,red,decision,0
1,3,6,red/blue,60,red,decision,20
1,3,7,blue/yellow,80,blue,catch,0
1,3,8,yellow/blue,20,yellow,catch,60
1,3,9,blue/green,40,blue,catch,0
1,3,10,blue/red,80,blue,decision,0
1,3,11,yellow/red,20,yellow,catch,40
1,3,12,green/yellow,40,green,decision,0
1,3,13,blue/green,80,blue,catch,0
1,3,14,yellow/red,20,yellow,catch,40
1,3,15,red/blue,60,red,decision,0
1,3,16,red/yellow,60,red,catch,0
1,3,17,green/yellow,0,green,decision,20
1,3,18,green/yellow,40,green,decision,0
1,3,19,blue/red,80,blue,decision,0
1,3,20,red/blue,60,red,decision,20
1,3,21,red/blue,80,blue,decision,0
1,3,22,green/yellow,40,green,decision,0
1,3,23,red/green,60,red,catch,0
1,3,24,yellow/red,20,yellow,catch,40
1,3,25,yellow/blue,20,yellow,catch,20
1,3,26,yellow/red,20,yellow,catch,40
1,3,27,green/blue,0,green,catch,40
1,3,28,blue/red,80,blue,decision,0
1,3,29,green/yellow,40,green,decision,0
1,3,30,green/yellow,20,yellow,decision,0
1,3,31,blue/green,40,blue,catch,0
1,3,32,yellow/red,20,yellow,catch,40
1,3,33,blue/green,40,blue,catch,0
1,3,34,blue/red,80,blue,decision,0
1,3,35,green/yellow,40,green,decision,0
1,3,36,red/blue,60,red,decision,0
1,3,37,green/yellow,0,green,decision,20
1,3,38,yellow/green,20,yellow,decision,20
1,3,39,yellow/green,20,yellow,decision,0
1,3,40,yellow/green,20,yellow,decision,20
1,4,1,blue/red,40,blue,decision,20
1,4,2,red/yellow,60,red,catch,0
1,4,3,blue/red,80,blue,decision,0
1,4,4,red/blue,80,blue,decision,0
1,4,5,yellow/green,40,green,decision,0
1,4,6,blue/yellow,40,blue,catch,0
1,4,7,yellow/green,20,yellow,decision,20
1,4,8,green/yellow,40,green,decision,0
1,4,9,green/yellow,0,green,decision,20
1,4,10,yellow/green,20,yellow,decision,0
1,4,11,green/yellow,0,green,decision,20
1,4,12,yellow/green,20,yellow,decision,20
1,4,13,green/red,40,green,catch,20
1,4,14,yellow/green,20,yellow,decision,20
1,4,15,green/blue,0,green,catch,40
1,4,16,yellow/blue,20,yellow,catch,60
1,4,17,red/blue,60,red,decision,0
1,4,18,red/blue,60,red,decision,20
1,4,19,red/blue,60,red,decision,20
1,4,20,green/red,60,red,catch,0
1,4,21,yellow/green,20,yellow,decision,20
1,4,22,green/blue,40,green,catch,0
1,4,23,blue/green,80,blue,catch,0
1,4,24,yellow/red,20,yellow,catch,40
1,4,25,green/yellow,40,green,decision,0
1,4,26,blue/red,60,red,decision,0
1,4,27,blue/red,40,blue,decision,20
1,4,28,red/blue,60,red,decision,0
1,4,29,blue/green,40,blue,catch,0
1,4,30,blue/yellow,40,blue,catch,0
1,4,31,red/yellow,60,red,catch,0
1,4,32,green/yellow,40,green,decision,0
1,4,33,yellow/green,20,yellow,decision,0
1,4,34,blue/yellow,40,blue,catch,0
1,4,35,green/red,40,green,catch,20
1,4,36,blue/green,80,blue,catch,0
1,4,37,yellow/red,20,yellow,catch,40
1,4,38,yellow/green,20,yellow,decision,20
1,4,39,green/yellow,40,green,decision,0
1,4,40,blue/red,80,blue,decision,0
1,5,1,green/yellow,0,green,decision,20
1,5,2,yellow/green,20,yellow,decision,20
1,5,3,red/blue,60,red,decision,20
1,5,4,green/yellow,40,green,decision,0
1,5,5,blue/yellow,40,blue,catch,0
1,5,6,yellow/blue,20,yellow,catch,60
1,5,7,yellow/red,20,yellow,catch,40
1,5,8,blue/yellow,40,blue,catch,0
1,5,9,green/yellow,0,green,decision,20
1,5,10,green/yellow,40,green,decision,0
1,5,11,red/blue,60,red,decision,20
1,5,12,yellow/green,20,yellow,decision,20
1,5,13,yellow/green,20,yellow,decision,20
1,5,14,yellow/green,20,yellow,decision,0
1,5,15,red/green,60,red,catch,0
1,5,16,yellow/blue,80,blue,catch,0
1,5,17,green/yellow,0,green,decision,20
1,5,18,red/green,60,red,catch,0
1,5,19,yellow/blue,20,yellow,catch,60
1,5,20,green/yellow,0,green,decision,20
1,5,21,blue/green,40,green,catch,0
1,5,22,green/yellow,40,green,decision,0
1,5,23,blue/green,40,blue,catch,0
1,5,24,green/blue,0,green,catch,80
